"Time / s","Inertia:Torque","Inertia:Speed"
0,1,0
9.9999999999999991e-05,0.99999000004999983,0.00099999500001666641
0.00060000000000000006,0.99994000179996401,0.0059998200035999453
0.0016000000000000001,0.99984001279931733,0.015998720068263937
0.0025999999999999999,0.99974003379707088,0.025996620292914292
0.0035999999999999999,0.99964006479222467,0.035993520777530014
0.0045999999999999999,0.99954010578377916,0.045989421622080112
0.0055999999999999999,0.99944015677073472,0.055984322926523604
0.0066,0.99934021775209192,0.065978224790809489
0.0076,0.99924028872685122,0.075971127314876791
0.0086,0.99914036969401343,0.085963030598654525
0.0096000000000000009,0.99904046065257934,0.095953934742061736
0.010600000000000002,0.99894056160154987,0.10594383984500746
0.011600000000000003,0.99884067253992614,0.11593274600739076
0.012600000000000004,0.99874079346670896,0.12592065332910068
0.013600000000000004,0.9986409243808998,0.13590756191001629
0.014600000000000005,0.99854106528149988,0.14589347185000673
0.015600000000000006,0.99844121616751069,0.15587838324893105
0.016600000000000007,0.99834137703793357,0.16586229620663837
0.017600000000000008,0.99824154789177033,0.17584521082296778
0.018600000000000009,0.99814172872802254,0.18582712719774849
0.01960000000000001,0.99804191954569199,0.19580804543079963
0.020600000000000011,0.99794212034378071,0.20578796562193039
0.021600000000000012,0.99784233112129062,0.21576688787093998
0.022600000000000012,0.99774255187722383,0.22574481227761761
0.023600000000000013,0.99764278261058259,0.23572173894174256
0.024600000000000014,0.99754302332036915,0.24569766796308404
0.025600000000000015,0.99744327400558597,0.2556725994414013
0.026600000000000016,0.99734353466523551,0.26564653347644379
0.027600000000000017,0.99724380529832046,0.2756194701679508
0.028600000000000018,0.99714408590384351,0.2855914096156516
0.029600000000000019,0.99704437648080735,0.29556235191926572
0.03060000000000002,0.99694467702821499,0.30553229717850255
0.031600000000000017,0.99684498754506934,0.31550124549306152
0.032600000000000018,0.99674530803037364,0.3254691969626321
0.033600000000000019,0.99664563848313104,0.33543615168689384
0.03460000000000002,0.99654597890234486,0.34540210976551633
0.035600000000000021,0.99644632928701837,0.35536707129815898
0.036600000000000021,0.99634668963615525,0.36533103638447162
0.037600000000000022,0.99624705994875906,0.37529400512409372
0.038600000000000023,0.9961474402238335,0.38525597761665498
0.039600000000000024,0.99604783046038226,0.39521695396177525
0.040600000000000025,0.99594823065740934,0.4051769342590642
0.041600000000000026,0.99584864081391877,0.41513591860812166
0.042600000000000027,0.99574906092891458,0.42509390710853751
0.043600000000000028,0.9956494910014011,0.43505089985989159
0.044600000000000029,0.99554993103038247,0.44500689696175383
0.045600000000000029,0.99545038101486316,0.45496189851368429
0.04660000000000003,0.99535084095384763,0.46491590461523286
0.047600000000000031,0.99525131084634055,0.47486891536593967
0.048600000000000032,0.99515179069134663,0.48482093086533479
0.049600000000000033,0.99505228048787064,0.49477195121293832
0.050600000000000034,0.9949527802349174,0.50472197650826056
0.051600000000000035,0.99485328993149202,0.5146710068508018
0.052600000000000036,0.99475380957659942,0.52461904234005219
0.053600000000000037,0.99465433916924506,0.53456608307549214
0.054600000000000037,0.99455487870843406,0.5445121291565922
0.055600000000000038,0.9944554281931719,0.5544571806828128
0.056600000000000039,0.99435598762246391,0.56440123775360429
0.05760000000000004,0.9942565569953159,0.57434430046840734
0.058600000000000041,0.99415713631073344,0.58428636892665242
0.059600000000000042,0.99405772556772243,0.59422744322776044
0.060600000000000043,0.99395832476528856,0.60416752347114211
0.061600000000000044,0.99385893390243807,0.61410660975619813
0.062600000000000044,0.99375955297817675,0.62404470218231933
0.063600000000000045,0.99366018199151118,0.63398180084888689
0.064600000000000046,0.99356082094144726,0.64391790585527164
0.065600000000000047,0.99346146982699168,0.65385301730083456
0.066600000000000048,0.99336212864715068,0.66378713528492683
0.067600000000000049,0.99326279740093115,0.67372025990688955
0.06860000000000005,0.99316347608733946,0.68365239126605415
0.069600000000000051,0.99306416470538261,0.69358352946174173
0.070600000000000052,0.99296486325406741,0.70351367459326397
0.071600000000000052,0.99286557173240075,0.71344282675992199
0.072600000000000053,0.99276629013938988,0.72337098606100758
0.073600000000000054,0.99266701847404193,0.73329815259580211
0.074600000000000055,0.99256775673536424,0.74322432646357728
0.075600000000000056,0.99246850492236405,0.75314950776359491
0.076600000000000057,0.99236926303404893,0.76307369659510682
0.077600000000000058,0.99227003106942646,0.77299689305735486
0.078600000000000059,0.99217080902750432,0.78291909724957098
0.07960000000000006,0.99207159690729019,0.79284030927097726
0.08060000000000006,0.99197239470779219,0.80276052922078589
0.081600000000000061,0.99187320242801802,0.81267975719819896
0.082600000000000062,0.9917740200669759,0.82259799330240868
0.083600000000000063,0.99167484762367397,0.83251523763259749
0.084600000000000064,0.99157568509712057,0.84243149028793785
0.085600000000000065,0.99147653248632406,0.85234675136759241
0.086600000000000066,0.99137738979029288,0.86226102097071367
0.087600000000000067,0.99127825700803551,0.87217429919644429
0.088600000000000068,0.99117913413856085,0.88208658614391711
0.089600000000000068,0.99108002118087746,0.89199788191225482
0.090600000000000069,0.99098091813399425,0.90190818660057059
0.09160000000000007,0.99088182499692035,0.91181750030796738
0.092600000000000071,0.99078274176866465,0.92172582313353846
0.093600000000000072,0.9906836684482363,0.93163315517636669
0.094600000000000073,0.99058460503464474,0.94153949653552571
0.095600000000000074,0.99048555152689921,0.95144484731007883
0.096600000000000075,0.99038650792400917,0.96134920759907971
0.097600000000000076,0.99028747422498431,0.9712525775015719
0.098600000000000076,0.99018845042883408,0.98115495711658907
0.099600000000000077,0.99008943653456849,0.991056346543155
0.10060000000000008,0.98999043254119712,1.0009567458802835
