"Time / s","Am1:Measured current"
0,0
9.9999999999999991e-05,0.099006633466133337
0.00060000000000000006,0.56539781495670405
0.0016000000000000001,1.3692547236138126
0.0025999999999999999,2.0273971120879897
0.0035999999999999999,2.5662385387668998
0.0045999999999999999,3.0074045967357605
0.0055999999999999999,3.3686008245450236
0.0066,3.6643232914643851
0.0076,3.9064403754973149
0.0086,4.1046690829448069
0.0096000000000000009,4.2669650258901592
0.010600000000000002,4.3998417087666706
0.011600000000000003,4.5086319380961246
0.012600000000000004,4.5977018466861388
0.013600000000000004,4.6706261218267713
0.014600000000000005,4.7303314700074335
0.015600000000000006,4.7792140758955242
0.016600000000000007,4.8192357696168289
0.017600000000000008,4.8520027618673804
0.018600000000000009,4.8788301067724831
0.01960000000000001,4.9007944796131175
0.020600000000000011,4.9187773875747123
0.021600000000000012,4.9335005477168909
0.022600000000000012,4.9455548520060075
0.023600000000000013,4.9554240818786308
0.024600000000000014,4.9635043240844476
0.025600000000000015,4.9701198670343372
0.026600000000000016,4.9755362156297194
0.027600000000000017,4.9799707469038603
0.028600000000000018,4.9836014341233072
0.029600000000000019,4.9865739894782184
0.03060000000000002,4.9890077120227208
0.031600000000000017,4.9910002755636595
0.032600000000000018,4.9926316486524476
0.033600000000000019,4.9939673040030277
0.03460000000000002,4.9950608461411141
0.035600000000000021,4.9959561627415017
0.036600000000000021,4.9966891859941169
0.037600000000000022,4.9972893346886016
0.038600000000000023,4.9977806948933505
0.039600000000000024,4.998182986613771
0.040600000000000025,4.9985123552251354
0.041600000000000026,4.9987820194430297
0.042600000000000027,4.9990028018366859
0.043600000000000028,4.999183563176584
0.044600000000000029,4.999331558048187
0.045600000000000029,4.9994527260038639
0.04660000000000003,4.9995519299379181
0.047600000000000031,4.9996331512515644
0.048600000000000032,4.9996996496404966
0.049600000000000033,4.9997540939178924
0.050000000000000003,4.9997730000759111
